,category,language,likes,published_at,sentiment,subcategory,text,clean_text
0,Irony/Sarcasm,Plain Emoji,0,2026-02-15T10:58:38Z,Neutral,Mock compliment,🤣🤣🤣🤣🤣🤣🤣🤣🤣,rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing
1,Irony/Sarcasm,Code Switching,0,2026-02-09T21:24:41Z,Negative,Mock Laughter,OBina suffer alot 😂😂😂😂,<name> suffer alot facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
2,Irony/Sarcasm,Swahili,0,2026-02-08T02:19:02Z,Neutral,Mock compliment,Mmmmh makubwa yapo njiani yanakuja,mmmh makubwa <name> <name> yanakuja
3,Offensive,Code Switching,0,2026-02-07T14:27:42Z,Negative,Sex-based,"Tunataka 
Kiss between 

Salet and Onjiri",<name> <name> <name> between salet and onjiri
4,Offensive,English,0,2026-02-07T07:41:52Z,Negative,Non-personal,Foolishness and witchcraft,foolishness and witchcraft
5,Irony/Sarcasm,Code Switching,0,2026-02-07T06:04:13Z,Negative,Mock compliment,Nipee mate ×2,nipee mate 2
6,Misinformation,English,0,2026-02-06T22:37:07Z,Neutral,Misleading/Contextual Deception,he is cheating,he is cheating
7,Irony/Sarcasm,Code Switching,0,2026-02-06T13:34:17Z,Negative,Mock compliment,Amesema in my HEARTs kwani ako na ngapi anigawie moja jameni...yangu Iko karibu kuharibiwa na vijana huku nje I need a spare heart 😂😂😂😂😂😂,amesema in my hearts <name> <name> na ngapi anigawie moja jameni .. yangu iko karibu kuharibiwa na <name> <name> <name> i need a spare heart facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
8,Irony/Sarcasm,Plain Emoji,0,2026-02-06T13:04:46Z,Negative,Mock Laughter,😂😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
9,Irony/Sarcasm,Code Switching,0,2026-02-06T07:07:54Z,Negative,Mock compliment,Niruhusi nikuchape pusuu a roho😂😂😂😂😂,niruhusi nikuchape pusuu a roho facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
