,Unnamed: 0,Unnamed: 0.1,annotation_id,annotator,author,category,clean_text,confidence_score,created_at,id,language,lead_time,likes,predicted_label,published_at,sentiment,subcategory,text,updated_at
0,,5028,3011,1,@Annemimi234,Irony/Sarcasm,Napenda hii couple but hapo kwa 29yrs nimekataaa....  face_with_tears_of_joy  face_with_tears_of_joy ,0.6048948168754578,2026-02-24T19:06:10.770015Z,10057,Mixed (Code-switching),224.696,10,neutral or positive,2025-07-28T16:36:04Z,Positive,[Irony] Hyperbolic understatement,Napenda hii couple but hapo kwa 29yrs nimekataaa.... 😂😂,2026-02-24T19:06:10.770015Z
1,,5029,3012,1,@MKLMNMKLMNMKLMN,Others,rada zako wasingam,0.2915499806404114,2026-02-24T19:08:59.913717Z,10058,Sheng,90.467,0,neutral or positive,2025-07-28T16:35:44Z,Neutral,[Other] General Others,rada zako wasingam,2026-02-24T19:08:59.913717Z
2,,5030,3013,1,@raphaelmutinda8214,Constructive Criticism,Izo chwom mbaya ndio zetuu face_with_tears_of_joy  face_with_tears_of_joy ,0.6237429976463318,2026-02-24T19:10:09.116244Z,10059,Sheng,67.516,0,offensive language,2025-07-28T16:35:12Z,Positive,[CC] Genuine Praise,Izo chwom mbaya ndio zetuu😂😂,2026-02-24T19:10:09.116244Z
3,,5031,3014,1,@rhinoriders6060,Constructive Criticism,Nka shy grinning_face_with_sweat ,0.4070870876312256,2026-02-24T19:11:05.157793Z,10060,Mixed (Code-switching),53.456,0,neutral or positive,2025-07-28T16:35:07Z,Positive,[CC] Genuine Praise,Nka shy😅,2026-02-24T19:11:05.157793Z
4,,5032,3015,1,@wanjawakariuki9079,Constructive Criticism,Ata kama ni dooh kuna shida zingine siwezi taka,0.6276571750640869,2026-02-24T19:18:26.750854Z,10061,Sheng,70.046,1,neutral or positive,2025-07-28T16:34:43Z,Neutral,[CC] Decision-criticism,Ata kama ni dooh kuna shida zingine siwezi taka,2026-02-24T19:18:26.750854Z
5,,5033,3016,1,@irenemutuku4043,Irony/Sarcasm, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy Hawa huwezi waelewa,0.4992189705371856,2026-02-24T19:20:26.148353Z,10062,Swahili,117.453,0,offensive language,2025-07-28T16:34:01Z,Neutral,[Irony] Hyperbolic understatement,😂😂😂😂😂😂Hawa huwezi waelewa,2026-02-24T19:20:26.148353Z
6,,5034,3017,1,@2five4Eventsphotography,Constructive Criticism,tumeingoja. salamia korir,0.3786774575710296,2026-02-24T19:20:49.599785Z,10063,Swahili,22.435,0,neutral or positive,2025-07-28T16:33:34Z,Neutral,[CC] Supportive Speech,tumeingoja. salamia korir,2026-02-24T19:20:49.599785Z
7,,5035,3018,1,@MwilwatsiJohn,Irony/Sarcasm,The wife looks 65 face_with_tears_of_joy ,0.2941755652427673,2026-02-24T19:21:47.977468Z,10064,English,57.225,0,irony,2025-07-28T16:33:32Z,Negative,[Irony] Hyperbolic understatement,The wife looks 65😂,2026-02-24T19:21:47.977468Z
8,,5036,3019,1,@Josephine-ht3zc,Constructive Criticism,"The more you dig in,the more you get confused",0.4427207112312317,2026-02-24T19:24:30.131655Z,10065,English,160.973,8,neutral or positive,2025-07-28T16:33:08Z,Neutral,[CC] Corrective clarification,"The more you dig in,the more you get confused",2026-02-24T19:24:30.131655Z
9,,5037,3020,1,@henryomondi9957,Constructive Criticism,Obina kuja busia,0.4790042042732239,2026-02-24T19:24:53.353380Z,10066,Swahili,16.094,0,offensive language,2025-07-28T16:33:04Z,Positive,[CC] Supportive Speech,Obina kuja busia,2026-02-24T19:24:53.353380Z
