,author,text,likes,published_at,Unnamed: 0
0,@ChristineArumba-y7q,🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2026-02-15T10:58:38Z,
1,@LexiSumaii,OBina suffer alot 😂😂😂😂,0,2026-02-09T21:24:41Z,
2,@marthaayuma7065,Mmmmh makubwa yapo njiani yanakuja,0,2026-02-08T02:19:02Z,
3,@danwenger1113,"Tunataka 
Kiss between 

Salet and Onjiri",0,2026-02-07T14:27:42Z,
4,@emmambuvi9029,Foolishness and witchcraft,0,2026-02-07T07:41:52Z,
5,@stephenmuange2998,Nipee mate ×2,0,2026-02-07T06:04:13Z,
6,@careyochogo7069,he is cheating,0,2026-02-06T22:37:07Z,
7,@Cherryclover35,Amesema in my HEARTs kwani ako na ngapi anigawie moja jameni...yangu Iko karibu kuharibiwa na vijana huku nje I need a spare heart 😂😂😂😂😂😂,0,2026-02-06T13:34:17Z,
8,@MochacheJanet,😂😂😂😂,0,2026-02-06T13:04:46Z,
9,@YvonneKashish,Niruhusi nikuchape pusuu a roho😂😂😂😂😂,0,2026-02-06T07:07:54Z,
10,@abdisalangure616,Rubbish this is not only  immoral but also unafrican ....wacha kuharibu watoto wetu....There are things made in private ......This is like walking naked .......obinna stopairing such crab.,0,2026-02-05T23:36:38Z,
11,@collettumbo8972,🤣🤣🤣🤣🤣obina's eyes.,0,2026-02-05T07:36:32Z,
12,@pricelessevolution,Huyu lazima acheat!!,0,2026-02-04T14:12:58Z,
13,@pricelessevolution,"Wakisii wanapenda sota matiaba!!! ,(Cola drinks)",0,2026-02-04T14:06:06Z,
14,@pricelessevolution,Mkisii? Siringi kwa ya piri....,0,2026-02-04T14:03:14Z,
15,@Emmagraphics-x1,aty nikububujike 😂na penzi,0,2026-02-03T22:18:10Z,
16,@jamesmuimi5737,Alafu obina kwani miwani Yako haioni????😂😂😂😂,1,2026-02-03T20:16:54Z,
17,@jamesmuimi5737,Obina iyo macho😂😂😂😂😂😂,0,2026-02-03T20:13:09Z,
18,@Brendahchepkorir254,May this kind of love never locate my ex 😂😂😂,2,2026-02-03T19:25:03Z,
19,@afreenkhan5670-f7i,😂😅🤣🤣🤣🤣hki wakisii mtavunja bavu langu weh,1,2026-02-03T19:09:18Z,
