,author,text,likes,published_at
0,@ObinnaTVExtra,Who do you want on the next show?,237,2025-05-06T07:02:14Z
1,@pn5003,😂😂culture heee ziii ... He is never serious my best comedian,0,2026-02-13T06:18:11Z
2,@ruthogando6029,Imagine Sasa watoto wao wakiona hizi 😢,0,2026-01-18T19:07:41Z
3,@KAREH-m7b,Poor sabrina,0,2026-01-14T08:07:24Z
4,@KelvinGraphics,😂😂😂😂😂Ausio,0,2026-01-09T22:14:17Z
5,@LizLishh-b4f,Me here in 2026 after wedding eeiii😂😂😂fear men guys,0,2026-01-09T10:54:12Z
6,@Alvin-r7l5s,Mdomo imemuokoa,0,2026-01-07T05:52:20Z
7,@sostineonyimbo6827,Nani ako hapa 2026 from tiktok? Weka like.,20,2026-01-06T11:09:29Z
8,@Jeremiahflorah19,I think one of them had UTI then one isn't informed about this things..wakaenda tu na jina kaswende,0,2026-01-06T03:41:02Z
9,@DivinahOgamba-l4r7v,Hanaah na kimdomo,1,2026-01-05T20:16:34Z
10,@JAMESRASHID-b7i,Sahiyo culture hanyonywi😂,0,2026-01-05T19:05:32Z
11,@QuinterAchieng-u6t1j,Hi obinnna,0,2026-01-05T18:12:13Z
12,@sarahbosibori-f9d,Aki kalija ww 😂😂😂😂,1,2026-01-05T07:52:28Z
13,@QuinterOduor-x9z,Am here after wedding,1,2026-01-05T05:13:22Z
14,@SaumHazrat,🤣🤣🤣🤣,0,2026-01-04T20:38:47Z
15,@samuelngugi-k5e,sabrina ni mature hanna na jamaa wake they are acting like kids,0,2026-01-04T11:23:16Z
16,@samuelngugi-k5e,huyo jamaa ni mtoto sana,0,2026-01-04T11:21:54Z
17,@sabsjoyjoy5137,Coming back here after Samir wedding. Weeks after Hannah giving birth,17,2026-01-04T00:45:41Z
18,@KakiNguna,So uku bdo Hannah alkuwa na bol ya two ama three months 😢😢,0,2026-01-03T17:57:37Z
19,@VeronicaIsigi,"Watu wa kusema maturity iko kwa Sabrina hamjui meaning ya maturity, that lady looks like a pretender 😏😏😏",0,2025-12-23T07:16:00Z
20,@JecinterOkello-m6i,Hannah is very stupid,0,2025-11-26T17:56:34Z
21,@comingup6671,Mambo ya wanawake utakufa vibaya sana 🤣🤣🤣,0,2025-11-07T03:58:48Z
22,@MillicentKinya-j8v,😂😂😂😂huku nje Watu mnashare Watu na hamna stress,1,2025-10-16T21:51:02Z
23,@MillicentKinya-j8v,And culture is there 😂😂😂😂😂 no talk giving only the ears,0,2025-10-16T21:46:03Z
24,@WilliamSabaya-z3b8i,Bbvvn,0,2025-10-04T13:46:16Z
25,@music254kenya,Obinna we ni fala sana unaaribu interview ya boy wetu next time ukijaribu tutakusalimia,0,2025-09-14T20:20:58Z
26,@Makansidmeruprince,It's not right to kuharibia a person jina and expect him/her kukosa kujitetea so I am team Hannah all the way,2,2025-08-10T20:02:22Z
27,@peterrotumoi622,Mko na ujingaa,0,2025-08-05T19:50:35Z
28,@HonVincee,This is total nonsense why invite someone on the interview and get someone on board for such nonsense,1,2025-07-29T21:04:32Z
29,@FrinceKay091,1:38:22 😂😂😂😂 aah mimi hapo siko😅😅😅,0,2025-07-24T21:15:39Z
30,@wanja6144,"That Sabrina gal started all this,it was their interview na hawange mention names,wangeacha islide...if i were Hannah,ningereact hivo tu... That Sabrina is one bitter soul!",0,2025-07-24T13:28:31Z
31,@kellsgentleman561,I need prayers 🙏😂,0,2025-07-19T21:21:22Z
32,@WilfredOkemwa-x2d,"This is just a story, obviously Captain must defend  Hannah coz he is with her now. I can't trust anything Hannah says or provides without a lawyer going through them. Certificate and everything can be faked taking into account Hannah is rich and has money money,she can convince the fools with her documents and chats. Messages can be generated through Fake Messages App. Sabrina never wanted to speak about her past relationship,it was brought up through online chats and she responded maturely.",0,2025-07-19T07:49:09Z
33,@ismaelomondi254,you nailed it broo,1,2025-07-14T10:23:40Z
34,@StephenMukuuta,😂😂😂😂😂nipeni likes if wamewabamba,0,2025-07-14T09:33:18Z
35,@GE_Albert5,The guy is here for a comedy,0,2025-07-13T07:07:00Z
36,@FrankWaita,Sasa hio mbilikimo inaeza angusha Culture ? Someone should just gauge his/her wars .,0,2025-07-11T23:13:33Z
37,@JoyceKiarie-j3i,Obina ii ni kitu ulikua umepanga na umekosea sabrina n culture coz wao hawakua wamekuja mabishano,0,2025-07-08T20:28:26Z
38,@TENDAILYYOUTHGROUP,UYU WA RED ANAKAA ALIKUA NAYO TU,0,2025-07-08T04:21:44Z
39,@PerisMacharia-n7c,Alienda kukuliwa Dubai...and now the cowife is bitter😂😂😂😂,1,2025-07-07T21:23:35Z
40,@AribaDjke-y4,😂😂😂😂mboro was jus chilling then boooom😂😂😂,0,2025-07-06T12:39:23Z
41,@AnnMukiri-k5j,Huyu msee ameshika gwatiiii kabla akuje hapa juu wee syo hivi,0,2025-07-05T01:29:12Z
42,@genevieveedwards6303,😂😂😂😂,0,2025-07-01T19:59:14Z
43,@genevieveedwards6303,Social media😢 never forgets,0,2025-07-01T19:51:38Z
44,@flossym878,FBI wueeh😂😂😂😂,0,2025-06-30T23:25:00Z
45,@ongubobryan2392,this is stupid,0,2025-06-30T06:25:47Z
46,@magarabrian1997,"apologies to that couple  ,, ujafanya poa🙂‍↔️🙂‍↔️",0,2025-06-27T22:41:41Z
47,@RoselyneMalety,Na support Hannah..coz ako confidence na energetic...bt Sabrina a style up...,0,2025-06-27T17:27:12Z
48,@demoraah6552,Wapi results za oasis ya hosi mlienda fast...hii kitu n ukweli hanna ulikua nayo😂😂😂😂😂😂😂alafu waaaaaah huku inje sio kuzuri na jamaa mwenyewe n AK47 na ako na wanawake hao wote😂😂😂😂😂,0,2025-06-26T18:04:03Z
49,@HellenKagwi,Very wrong!!!!never do this again Obinna kindly,0,2025-06-21T13:17:35Z
50,@nicodemusratemo2037,Nonsense,0,2025-06-13T21:50:22Z
51,@LuciaWairimu-g5b,Hiyo ni kalli😅😅😅,0,2025-06-12T12:48:08Z
52,@LuciaWairimu-g5b,Hiyo kiss bana 😮,0,2025-06-12T12:33:58Z
53,@SimonNgugi-fc6xj,ii couple jamani 😂,0,2025-06-11T09:41:06Z
54,@lucianalawrence9155,"Hannah toa results za oasis...this were results for the second test.
Maybe Sabrina is right,who knows.",0,2025-06-09T09:03:07Z
55,@KyumwaMutua,Hannah benta you are so very silly,0,2025-06-07T21:21:18Z
56,@stellakerubo4834,The 2ladies yaani hawajipendi kabisaaaa.....sharing a man in the same room....wako too desperate,0,2025-06-05T03:59:26Z
57,@stellakerubo4834,Hata kama walipewa dawa na huyo mwanaume wao pia angepatiwa dawa..if not the cycle continues....,0,2025-06-05T03:57:35Z
58,@shalyneandary7036,"😂😂😂😂😅😅😅  watching after 3weeks ,,,",0,2025-06-03T22:00:16Z
59,@salomeonyango8509,Tunataka results za kisii. Sio za Agha Khan,0,2025-06-02T18:08:14Z
60,@salomeonyango8509,"Next time, please protect the interviewee.  You should have booked Hanna for another interview.  Waaaah!!",0,2025-06-02T18:07:27Z
61,@boywakitui3857,ZIET😂😂😂LOVE CULTURE 💓😂😂😂,1,2025-05-26T15:51:55Z
62,@mylacetsindori7346,I like the guy😂😂😂 aka na vibe plus ako mature😊😊,0,2025-05-26T13:54:39Z
63,@fbelons,"On that disease, I think it is misinformation. We need to understand STI, UTI and Candidiasis. In this case I think it was Candidiasis.",0,2025-05-26T10:07:28Z
64,@Vee-t5o,Gosh! Obinna you need to apologize to us for making us watch such a dignity-less episode! You are killing your brand,0,2025-05-24T20:53:34Z
65,@magarematara8919,So culture is listening as if he has a woman here,0,2025-05-24T13:49:07Z
66,@magarematara8919,Haki hawa wakisii wetu watu Nyanchwa wanatuchomea kusinda Cosmoi Choi and Osoro combined,0,2025-05-24T13:35:54Z
67,@magarematara8919,"Youngman,you have a long journey to go,you have a Kisii n a Luo woman n these very problematic ,you cannot leave one n enjoy your freedom",0,2025-05-24T12:39:18Z
68,@magarematara8919,Hiyo ya 3 some ndio tunataka,0,2025-05-24T12:05:16Z
69,@magarematara8919,So Sabrina ndio drama queen who broke everything kwa huyu kijana???,0,2025-05-24T09:49:40Z
70,@LydiaCheboi,Hannah n takataka Tu tena ya kayole 😂😂😂😂,0,2025-05-21T08:17:45Z
71,@EmishBakoka-wr8sw,Culture is vibe men,1,2025-05-20T11:03:20Z
72,@entertainmenttoday420,I bet deep down culture alitoka hapa akisema Huyu Dame akoh naye Ni temporarily option,0,2025-05-19T17:24:09Z
73,@garveyinc,a very useless episode obinna..hawa watu wa tiktok achana nao kabsaaaa..not educative.,0,2025-05-19T08:39:08Z
74,@garveyinc,mmeamua kutuletea 3vienyejiz  wa kucome kwa show😁,0,2025-05-19T08:02:51Z
75,@kentrellgolden3523,aaah heee,0,2025-05-18T06:54:27Z
76,@BRENDABARASA-h2d,Something is just off about this interview 😂,0,2025-05-18T05:07:24Z
77,@kenyaningermany,KENYAAAAAAA😅😂🤣,1,2025-05-17T22:58:30Z
78,@tonnadimples4039,"The show is okay,let everything That is hodden in the dark be exposed to moonlight.",0,2025-05-17T18:30:25Z
79,@tonnadimples4039,Sabrina is lying.,0,2025-05-17T18:27:42Z
80,@danielndei5420,"very boring host,..show was super dull,..",0,2025-05-17T02:26:59Z
81,@evanskibet3894,I thank my self for being a Kalenjin..we can't do this,0,2025-05-16T21:47:15Z
82,@veesampeivee7715,The world of usherati mungu wangu,0,2025-05-16T17:17:10Z
83,@festusmurithi1839,To this now Obina umekosea uyo jamaa heshima.,0,2025-05-16T15:22:28Z
84,@faithchebet9392,"Silence is the best weapon Hannah..coming here wasnt necessary,Obinna that wasnt fair to culture and his chick",0,2025-05-15T21:36:56Z
85,@ClintonManono,Kijana ni mushamba,0,2025-05-15T21:30:10Z
86,@PollyMwesh,Culture is like yooh hizi ni Gani sasa...no mata wati simuachi😅😅😅,1,2025-05-15T20:36:08Z
87,@MercyNjenga-q7u,Must she raise her voice to drive a point.,0,2025-05-15T10:14:44Z
88,@TaniaKemunto,The lady on red is so thick headed,0,2025-05-14T20:58:33Z
89,@Abushdeh_show,Kiherehere hannah benta. Kafala tu,0,2025-05-14T20:32:48Z
90,@leahmwendwa563,Obinna being a big bro na bado anaokota mushene😅😂😂😂😂😂😂😂,0,2025-05-14T18:53:59Z
91,@quidproquopodcast,Culture knows how to carry himself around chaos😅😅😅much respect,0,2025-05-14T14:03:39Z
92,@EmmanuelMbui-w6g,Captain was watching so he had to cover @Hannah benta,0,2025-05-14T14:01:43Z
93,@HarrizonOketcha,Beib analia mbona😂😂,0,2025-05-14T13:37:11Z
94,@winnie-ytg,"I came to watch Hannah ,,,, 
Her heart is not like ours",0,2025-05-14T05:55:41Z
95,@alicerunji7727,The couple said Hannah aitwe na obinna akamuita. I think they thought hatakuja. Sàbrina is childish na uongo mob.,0,2025-05-14T00:29:27Z
96,@lindabarbie6470,Hannah is right 💯💯💯,0,2025-05-14T00:27:04Z
97,@MammitoTebby-zj1pk,Hanna kaswende  Bentah,0,2025-05-13T21:09:12Z
98,@JedieFestus,Wait captain c mwenye ako Kwa show,0,2025-05-13T20:00:27Z
99,@BritneyMoraa-b1x,As a kisii Lady..I swear nimewatch hii interview na Aibu Kibao😂Obinna next time aki mind watu unaleta show,0,2025-05-13T18:25:49Z
