,author,text,likes,published_at
0,@omwami-j,Subscribe ❤🙏,13,2025-07-30T10:21:01Z
1,@LAKACHELAKACHE,😂😂😂😂Yani place ilifanyiwa ni ya kitajiri but ile bogi irikuja wacha TU najua hapo mpaka kunguni iliacha 😂😂😂😂,0,2026-01-13T10:58:54Z
2,@Mwikalip68,Hiii ni saw❤❤❤❤❤❤🎉🎉🎉🎉🎉,0,2025-12-10T07:23:23Z
3,@LilianKemuto-q9v8u,Kwa harusi hakunanga rules hiyo ni siku yako na haiwezi jirudia so hawa waliamua kuvunja record hii ndio furaha hakuna kuambiwa kitu ya kudu,0,2025-12-03T14:43:50Z
4,@bela-063,Riswa riswa,0,2025-11-20T12:07:32Z
5,@slumboymatellah,ni nani huyo alifanya harusi wa kwanza ndio achie hawa wasee?,0,2025-11-05T05:56:10Z
6,@IsaacMwanzali-s8v,"Mbogi nayo kubanja,,, dah!",1,2025-10-24T09:11:27Z
7,@kizitochacha,"Hii ni event ya kuosha pesa aka money laundering, hakuna harusi hapo",0,2025-10-04T11:32:46Z
8,@DominicWasilwa,Hiii ilikua biggy,0,2025-09-28T16:37:34Z
9,@charityndichu4332,Mungu nipatie patero sasa😅,0,2025-09-28T04:49:45Z
10,@YusraMbeyu-m8e,Ila Kenya waaah😂😂😂😂,0,2025-09-23T13:03:31Z
11,@Firog6004,Kwani made hawakutokea,0,2025-09-20T01:36:41Z
12,@kamauwilliamk,"Life iko hivyo, nothing makes sense.... Anymore 😂😂just do what you love 💕",0,2025-09-19T15:03:21Z
13,@victordeekenya3539,Following from Nairobi Kenya 🇰🇪 We congratulate them,0,2025-09-16T16:25:34Z
14,@teejayangel6638,He is man enough to marry. I respect them both for that very bold move. Marriage is not for children.,0,2025-09-15T11:39:19Z
15,@athertonwisdom5442,The realest support you can ever have. These guys were truly happy for their guy and that's a real deal man..,0,2025-09-14T15:12:55Z
16,@OengaMildred,Mimi nawakupali  kinoma yaani 😂😂hao watu wa kanisa ni roho mbaya walai 😂 hata yangu hapo Kwa cake 🍰 ni miraa NKT 😂😂😂😂😂,0,2025-09-12T16:28:10Z
17,@MarionMzalendo,Ndoa ifurahiwe na watu wote! And they did.  Nothing is wrong there,0,2025-09-11T12:50:16Z
18,@MitchMaya-s2d,Hi harusi ilikuwa YA Kaling'o,0,2025-09-06T09:13:37Z
19,@elizabethwalukha,Weee ati wa kudumu siku zote😂😂😂,0,2025-09-04T19:08:50Z
20,@HarshFal100l,😭😭😭😭😭,0,2025-08-28T19:26:18Z
21,@mercychepet543,The first wedding in kenya crazy 😂😂,0,2025-08-27T22:21:42Z
22,@Mgéé254,https://youtube.com/shorts/vCPMrncaHLE?si=S2gq2jZpGugdOdQB,0,2025-08-25T19:05:16Z
23,@GraceMuthoni-h1u,Is there no Dj🤔😂,0,2025-08-23T14:55:22Z
24,@VirginiaMuthoki-wt6ig,Drugs on air,0,2025-08-23T04:19:57Z
25,@jemk6098,Whats with the chains😅😅😅😅,0,2025-08-21T22:53:33Z
26,@VIRGISRAEL254,Even the parents were shocked,0,2025-08-18T12:59:04Z
27,@brianwajuma,"Na mbona hii bwana harusi ni wewe😂😂😂
Kwani hiii mbogi haijui kuimba😂😂",1,2025-08-17T04:42:12Z
28,@OliviaPhoebe-k1u,Nice one❤🎉,1,2025-08-16T15:35:34Z
29,@clare.o.o,"The deco people DELIVERED!!. Honestly, I wish them the best as well. God bless their marriage.🎊",2,2025-08-16T15:03:22Z
30,@sheillarmapenzi6389,Adi wazazi wameshangaa😂😂 7:55,1,2025-08-16T08:29:07Z
31,@PETERSIMIYU-to6iz,Yenywe ni kume na nne supuu 😂😂😂,1,2025-08-12T02:44:05Z
32,@annielewa4752,This is pure acting! It is obvious!,0,2025-08-11T19:17:12Z
33,@JanetMuguro,Kwani bibi hana mbogi😅,0,2025-08-11T18:31:22Z
34,@JanetMuguro,Enyewe birds of a feather😂😂😂😂😅,1,2025-08-11T18:24:47Z
35,@letisianjagi4349,They were shooting a movie probably,0,2025-08-10T04:42:16Z
36,@EvalyneAtieno-d8q,😂😂😂,0,2025-08-09T13:07:13Z
37,@AzzizKarim-v8q,Mimi ikifika hiyo time piga munju....walete tu kitanda juu hiyo ndio turn on yangu 😂😂😂😂💔💔,4,2025-08-09T09:27:33Z
38,@KimuraMusashi-y4u,Amefunga harusi Na shetani😮😮😮😮,0,2025-08-08T20:45:52Z
39,@LilianIngosi-hh7ex,It's funny jamani waa...h this is crazy 😅😅😅😅😅😅😊😂😂😂,1,2025-08-08T12:31:23Z
40,@Shaban-d9h,Na ni wengi aje..... bogie siku zote 😂😂😂😂,2,2025-08-07T15:18:26Z
41,@Shaban-d9h,Boogie 😂😂😂😂,1,2025-08-07T15:11:49Z
42,@Peterbahati016,Hii ni Kenyan movie,3,2025-08-07T15:04:52Z
43,@RIZIKI-i8l,😂😂😂😂kitu ngumu ilikua kwa hii harusi ni kucontrol hio mbogi😂😂😂😂😂aaaai,11,2025-08-07T03:38:31Z
44,@reenmakamu2278,Ni nini hatujaona Kenya hii😂😂😂😂😂😂😂,3,2025-08-06T12:28:22Z
45,@Trap6109-f9e,"Nimeona mtu ka Awoh,,,Aka kasa ananisaka,,,bydha sheree ilikuwa lit,,,na sai mambo ni zetuzetu,,,",2,2025-08-05T21:17:58Z
46,@christashaku,The fact that waliimba shangwe Hallelujah!😂😅,4,2025-08-05T20:30:49Z
47,@hildahokeyo9497,Hii ni ya mapepo.,1,2025-08-05T20:19:00Z
48,@Pes_Art,How to save money on a low income in Kenya https://smartmoneyk.blogspot.com/2025/08/how-to-save-money-on-low-income-in_4.html,0,2025-08-05T17:40:30Z
49,@beatriceawuor3077,Maybe hao ni parents for hire,0,2025-08-05T09:18:50Z
50,@benardnjoroge8249,"Wah,,,God have mercy on us please 🙏",2,2025-08-05T03:59:54Z
51,@stephenderrick1858,"Wtf...this isn't a wedding, it's a class clown re union frankly speaking.the lady's face is struggling to keep a calm face.",0,2025-08-04T17:22:31Z
52,@KaronAron-g4f,THIS CRAZY😆😅😅🤣,2,2025-08-04T10:54:18Z
53,@WAMBUI-l2b,Best wedding ever,2,2025-08-04T07:38:13Z
54,@WAMBUI-l2b,Niko hapo kwa piga muju,1,2025-08-04T07:37:54Z
