,category,language,likes,published_at,sentiment,subcategory,text,clean_text
0,Irony,Kenyan_slang,10,2025-07-28T16:36:04Z,Positive,Hyperbolic understatement,Napenda hii couple but hapo kwa 29yrs nimekataaa.... 😂😂,napenda hii couple but hapo kwa 29yrs nimekataaa.. face_with_tears_of_joy face_with_tears_of_joy
1,Others,Kenyan_slang,0,2025-07-28T16:35:44Z,Neutral,General Others,rada zako wasingam,rada zako wasingam
2,Constructive,Kenyan_slang,0,2025-07-28T16:35:12Z,Positive,Genuine Praise,Izo chwom mbaya ndio zetuu😂😂,izo chwom mbaya ndio zetuu face_with_tears_of_joy face_with_tears_of_joy
3,Constructive,Kenyan_slang,0,2025-07-28T16:35:07Z,Positive,Genuine Praise,Nka shy😅,nka shy grinning_face_with_sweat
4,Constructive,Kenyan_slang,1,2025-07-28T16:34:43Z,Neutral,Decision-criticism,Ata kama ni dooh kuna shida zingine siwezi taka,ata kama ni dooh kuna shida zingine siwezi taka
5,Irony,Swahili,0,2025-07-28T16:34:01Z,Neutral,Hyperbolic understatement,😂😂😂😂😂😂Hawa huwezi waelewa,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hawa huwezi waelewa
6,Constructive,Swahili,0,2025-07-28T16:33:34Z,Neutral,Supportive Speech,tumeingoja. salamia korir,tumeingoja. salamia korir
7,Irony,English,0,2025-07-28T16:33:32Z,Negative,Hyperbolic understatement,The wife looks 65😂,the wife looks 65 face_with_tears_of_joy
8,Constructive,English,8,2025-07-28T16:33:08Z,Neutral,Corrective clarification,"The more you dig in,the more you get confused","the more you dig in,the more you get confused"
9,Constructive,Swahili,0,2025-07-28T16:33:04Z,Positive,Supportive Speech,Obina kuja busia,<person> kuja busia
10,Others,Kenyan_slang,0,2025-07-28T16:32:29Z,Neutral,General Others,Mchele na kebab. Water Melon na cake,mchele na kebab. water melon na cake
11,Others,English,0,2025-07-28T16:32:27Z,Positive,General Others,Was waiting for this 😅😅,was waiting for this grinning_face_with_sweat grinning_face_with_sweat
12,Constructive,English,0,2025-07-28T16:32:13Z,Positive,Supportive Speech,Fully active💪,fully active flexed_biceps
13,Constructive,English,17,2025-07-28T16:31:44Z,Positive,Supportive Speech,"Guys let's stop being haters,if this guy is happy and the lady,who are we to judge,God has plans for everyone and whatever they do,whatever age they are it's none of your fucking business as long as they love each other,the lady is calm sophisticated I'm happy when I see people happy....may God bless their union as he has blessed mine....hugs for them from  diaspora.❤","guys lets stop being haters,if this guy is happy and the lady,who are we to judge,god has plans for everyone and whatever they do,whatever age they are its none of your fucking business as long as they love each other,the lady is calm sophisticated im happy when i see people happy..may god bless their union as he has blessed mine..hugs for them from diaspora. red_heart"
14,Others,Kenyan_slang,0,2025-07-28T16:31:04Z,Positive,General Others,Kumintatu 😂,kumintatu face_with_tears_of_joy
15,Constructive,Kenyan_slang,0,2025-07-28T16:30:58Z,Positive,Supportive Speech,😂😂siku zombo,face_with_tears_of_joy face_with_tears_of_joy siku zombo
16,Irony,Kenyan_slang,0,2025-07-28T16:30:27Z,Positive,Mock Laughter,Hapo kwa Movement ni jammo got me😂😂,hapo kwa movement ni <person> got me face_with_tears_of_joy face_with_tears_of_joy
17,Constructive,Kenyan_slang,0,2025-07-28T16:30:25Z,Positive,Supportive Speech,Wakudumu,wakudumu
18,Constructive,English,5,2025-07-28T16:30:24Z,Positive,Genuine Praise,Obina you the Goat❤,<person> you the goat red_heart
