"Unnamed: 0","Unnamed: 0.1","annotation_id","annotator","author","clean_text","confidence_score","created_at","id","label","language","lead_time","likes","predicted_label","published_at","text","updated_at"
"",0,7,"1","@ChristineArumba-y7q"," rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing ",0.4408399164676666,"2026-02-19T07:41:47.095768Z",16834,"Neutral/Positive","Mixed",39.752,0,"offensive language","2026-02-15T10:58:38Z","🤣🤣🤣🤣🤣🤣🤣🤣🤣","2026-02-20T16:03:12.244054Z"
"",1,8,"1","@LexiSumaii","OBina suffer alot  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.5852920413017273,"2026-02-19T07:42:01.894090Z",16835,"Constructive Criticism","English",8.98,0,"offensive language","2026-02-09T21:24:41Z","OBina suffer alot 😂😂😂😂","2026-02-19T07:42:01.894090Z"
"",2,9,"1","@marthaayuma7065","Mmmmh makubwa yapo njiani yanakuja",0.3248895704746246,"2026-02-19T07:42:19.181618Z",16836,"Neutral/Positive","Swahili",12.276,0,"neutral or positive","2026-02-08T02:19:02Z","Mmmmh makubwa yapo njiani yanakuja","2026-02-19T07:42:19.181618Z"
"",3,10,"1","@danwenger1113","Tunataka 
Kiss between 

Salet and Onjiri",0.3351278901100158,"2026-02-19T07:56:44.924691Z",16837,"Irony/Sarcasm","Mixed",40.947,0,"constructive criticism","2026-02-07T14:27:42Z","Tunataka 
Kiss between 

Salet and Onjiri","2026-02-19T07:56:44.924691Z"
"",4,11,"1","@emmambuvi9029","Foolishness and witchcraft",0.5926721096038818,"2026-02-19T08:01:45.076260Z",16838,"Offensive (Non-Targeted)","English",95.169,0,"offensive language","2026-02-07T07:41:52Z","Foolishness and witchcraft","2026-02-19T08:01:45.076260Z"
"",5,12,"1","@stephenmuange2998","Nipee mate ×2",0.2522588670253753,"2026-02-19T08:02:38.614676Z",16839,"Offensive (Non-Targeted)","Swahili",48.633,0,"offensive language","2026-02-07T06:04:13Z","Nipee mate ×2","2026-02-19T08:02:38.614676Z"
"",6,13,"1","@careyochogo7069","he is cheating",0.4696918129920959,"2026-02-19T08:02:57.285858Z",16840,"Misinformation","English",13.622,0,"offensive language","2026-02-06T22:37:07Z","he is cheating","2026-02-19T08:02:57.285858Z"
"",7,14,"1","@Cherryclover35","Amesema in my HEARTs kwani ako na ngapi anigawie moja jameni...yangu Iko karibu kuharibiwa na vijana huku nje I need a spare heart  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.3308389484882355,"2026-02-19T08:57:58.006849Z",16841,"Constructive Criticism","Mixed",288.62699999999995,0,"hate speech","2026-02-06T13:34:17Z","Amesema in my HEARTs kwani ako na ngapi anigawie moja jameni...yangu Iko karibu kuharibiwa na vijana huku nje I need a spare heart 😂😂😂😂😂😂","2026-02-19T08:57:58.006849Z"
"",8,15,"1","@MochacheJanet"," face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.3975022137165069,"2026-02-19T08:58:06.727846Z",16842,"Neutral/Positive","Mixed",4.165,0,"neutral or positive","2026-02-06T13:04:46Z","😂😂😂😂","2026-02-19T08:58:06.727846Z"
"",9,16,"1","@YvonneKashish","Niruhusi nikuchape pusuu a roho face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.4545678794384002,"2026-02-19T08:58:41.068883Z",16843,"Irony/Sarcasm","Mixed",27.16,0,"offensive language","2026-02-06T07:07:54Z","Niruhusi nikuchape pusuu a roho😂😂😂😂😂","2026-02-19T08:58:41.068883Z"
