Unnamed: 0.1,author,text,likes,published_at,Unnamed: 0,clean_text,predicted_label,confidence_score
5028,@Annemimi234,Napenda hii couple but hapo kwa 29yrs nimekataaa.... 😂😂,10,2025-07-28T16:36:04Z,,Napenda hii couple but hapo kwa 29yrs nimekataaa....  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.6048948168754578
5029,@MKLMNMKLMNMKLMN,rada zako wasingam,0,2025-07-28T16:35:44Z,,rada zako wasingam,neutral or positive,0.2915499806404114
5030,@raphaelmutinda8214,Izo chwom mbaya ndio zetuu😂😂,0,2025-07-28T16:35:12Z,,Izo chwom mbaya ndio zetuu face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.6237429976463318
5031,@rhinoriders6060,Nka shy😅,0,2025-07-28T16:35:07Z,,Nka shy grinning_face_with_sweat ,neutral or positive,0.4070870876312256
5032,@wanjawakariuki9079,Ata kama ni dooh kuna shida zingine siwezi taka,1,2025-07-28T16:34:43Z,,Ata kama ni dooh kuna shida zingine siwezi taka,neutral or positive,0.6276571750640869
5033,@irenemutuku4043,😂😂😂😂😂😂Hawa huwezi waelewa,0,2025-07-28T16:34:01Z,, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy Hawa huwezi waelewa,offensive language,0.4992189705371856
5034,@2five4Eventsphotography,tumeingoja. salamia korir,0,2025-07-28T16:33:34Z,,tumeingoja. salamia korir,neutral or positive,0.3786774575710296
5035,@MwilwatsiJohn,The wife looks 65😂,0,2025-07-28T16:33:32Z,,The wife looks 65 face_with_tears_of_joy ,irony,0.2941755652427673
5036,@Josephine-ht3zc,"The more you dig in,the more you get confused",8,2025-07-28T16:33:08Z,,"The more you dig in,the more you get confused",neutral or positive,0.4427207112312317
5037,@henryomondi9957,Obina kuja busia,0,2025-07-28T16:33:04Z,,Obina kuja busia,offensive language,0.4790042042732239
5038,@justmekendi,Mchele na kebab. Water Melon na cake,0,2025-07-28T16:32:29Z,,Mchele na kebab. Water Melon na cake,neutral or positive,0.351220965385437
5039,@LucyNjiru-i8m,Was waiting for this 😅😅,0,2025-07-28T16:32:27Z,,Was waiting for this  grinning_face_with_sweat  grinning_face_with_sweat ,offensive language,0.4375926256179809
5040,@geofreynjagim5241,Fully active💪,0,2025-07-28T16:32:13Z,,Fully active flexed_biceps ,neutral or positive,0.2722830772399902
5041,@kenzyadai531,"Guys let's stop being haters,if this guy is happy and the lady,who are we to judge,God has plans for everyone and whatever they do,whatever age they are it's none of your fucking business as long as they love each other,the lady is calm sophisticated I'm happy when I see people happy....may God bless their union as he has blessed mine....hugs for them from  diaspora.❤",17,2025-07-28T16:31:44Z,,"Guys let's stop being haters,if this guy is happy and the lady,who are we to judge,God has plans for everyone and whatever they do,whatever age they are it's none of your fucking business as long as they love each other,the lady is calm sophisticated I'm happy when I see people happy....may God bless their union as he has blessed mine....hugs for them from  diaspora. red_heart ",hate speech,0.3944947123527527
5042,@CharlesKabai-de6df,Kumintatu 😂,0,2025-07-28T16:31:04Z,,Kumintatu  face_with_tears_of_joy ,neutral or positive,0.3337255120277405
5043,@AlaniJereman-wg6bf,😂😂siku zombo,0,2025-07-28T16:30:58Z,, face_with_tears_of_joy  face_with_tears_of_joy siku zombo,neutral or positive,0.4148463904857635
5044,@dkmwers,Hapo kwa Movement ni jammo got me😂😂,0,2025-07-28T16:30:27Z,,Hapo kwa Movement ni jammo got me face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.3977469801902771
5045,@Williammuthengiro,Wakudumu,0,2025-07-28T16:30:25Z,,Wakudumu,neutral or positive,0.2966577410697937
5046,@NorahMunyiva,Obina you the Goat❤,5,2025-07-28T16:30:24Z,,Obina you the Goat red_heart ,offensive language,0.3576701283454895
5047,@gakiikimathi-bv3fp,Wow I like the show ❤😊,0,2025-07-28T16:29:36Z,,Wow I like the show  red_heart  smiling_face_with_smiling_eyes ,irony,0.3110356330871582
5048,@KathrynObare,Kwani watu huwatch bila kulike 😅 juu tumekuwa watu almost 4.5K how comes likes 2.4k,1,2025-07-28T16:29:29Z,,Kwani watu huwatch bila kulike  grinning_face_with_sweat  juu tumekuwa watu almost 4.5K how comes likes 2.4k,neutral or positive,0.3551588356494903
5049,@carohnjeri8987,I've never watched obbina show but for this nlikua nkingoja snaaaaa😂😂,1,2025-07-28T16:29:02Z,,I've never watched obbina show but for this nlikua nkingoja snaaaaa face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.7055909037590027
5050,@theenelly2543,ARSENAL SIKU ZOMBOOOOOOOOOOOOOO,0,2025-07-28T16:28:47Z,,ARSENAL SIKU ZOMBOOOOOOOOOOOOOO,neutral or positive,0.3025755286216736
5051,@Shaniz-kadot,Nmenice ❤😂😂😂,0,2025-07-28T16:28:41Z,,Nmenice  red_heart  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,hate speech,0.3201406896114349
5052,@shienjoroge7455,Huyu anaongelelea Naira ama😢,0,2025-07-28T16:28:27Z,,Huyu anaongelelea Naira ama crying_face ,neutral or positive,0.4179576635360718
5053,@ClementShikanda,"After Show ya Ndeke, this one has brought me back here 😂",0,2025-07-28T16:28:16Z,,"After Show ya Ndeke, this one has brought me back here  face_with_tears_of_joy ",constructive criticism,0.4017163217067718
5054,@PurityWambui-ln5dc,The wedding of the year🎉🎉🎉🎉❤I loved this😂😂love like this,1,2025-07-28T16:27:37Z,,The wedding of the year party_popper  party_popper  party_popper  party_popper  red_heart I loved this face_with_tears_of_joy  face_with_tears_of_joy love like this,irony,0.2506246268749237
5055,@bettyonyore7621,Tuko locked,0,2025-07-28T16:27:21Z,,Tuko locked,neutral or positive,0.2815572321414947
