"Unnamed: 0","Unnamed: 0.1","annotation_id","annotator","author","category","clean_text","confidence_score","created_at","id","language","lead_time","likes","predicted_label","published_at","sentiment","subcategory","text","updated_at"
452.0,7542,2547,"1","@NexHubEntertainment472","Constructive Criticism","fire fire  fire  fire  fire  fire  fire_engine  woman_firefighter ",0.3274363279342651,"2026-02-25T07:07:27.044241Z",15082,"Mixed (Code-switching)",572.798,0,"neutral or positive","2026-02-03T19:48:34Z","Positive","[CC] Genuine Praise","fire🔥🔥🔥🔥🔥🚒👩‍🚒","2026-02-25T07:12:37.368895Z"
453.0,7543,2548,"1","@BrianNgatia-w3g","Constructive Criticism","Bad Bad Bad!ii pia umeuwa fire  fire  raising_hands_medium_skin_tone ",0.4875646829605102,"2026-02-25T07:07:53.319622Z",15083,"Mixed (Code-switching)",23.889,0,"offensive language","2026-02-03T19:47:29Z","Positive","[CC] Genuine Praise","Bad Bad Bad!ii pia umeuwa🔥🔥🙌🏽","2026-02-25T07:07:53.319622Z"
454.0,7544,2549,"1","@sparta_the_DJ","Others","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m",0.3534356951713562,"2026-02-25T07:13:05.449659Z",15084,"Mixed (Code-switching)",34.551,0,"neutral or positive","2026-02-03T19:47:24Z","Neutral","[Other] Spam","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m","2026-02-25T07:13:05.449659Z"
455.0,7545,2550,"1","@sparta_the_DJ","Others","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m",0.3534356951713562,"2026-02-25T07:22:39.523600Z",15085,"Mixed (Code-switching)",572.01,0,"neutral or positive","2026-02-03T19:47:13Z","Neutral","[Other] Spam","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m","2026-02-25T07:22:39.523600Z"
456.0,7546,2551,"1","@FUTBOL_VIDEOS08","Others","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m",0.3534356951713562,"2026-02-25T07:22:53.647825Z",15086,"Mixed (Code-switching)",9.093,0,"neutral or positive","2026-02-03T19:43:06Z","Neutral","[Other] Spam","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m","2026-02-25T07:22:53.647825Z"
457.0,7547,2552,"1","@FUTBOL_VIDEOS08","Others","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m",0.3534356951713562,"2026-02-25T07:23:03.805335Z",15087,"Mixed (Code-switching)",7.191,0,"neutral or positive","2026-02-03T19:42:58Z","Neutral","[Other] Spam","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m","2026-02-25T07:23:03.805335Z"
458.0,7548,2553,"1","@FUTBOL_VIDEOS08","Others","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m",0.3534356951713562,"2026-02-25T07:23:24.884740Z",15088,"Mixed (Code-switching)",18.968,0,"neutral or positive","2026-02-03T19:42:47Z","Neutral","[Other] Spam","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m","2026-02-25T07:23:24.884740Z"
459.0,7549,2554,"1","@FUTBOL_VIDEOS08","Others","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m",0.3534356951713562,"2026-02-25T07:23:43.678861Z",15089,"Mixed (Code-switching)",15.739,0,"neutral or positive","2026-02-03T19:42:37Z","Neutral","[Other] Spam","LOWKEY FULL MIXTAPE https://youtube.com/@sparta_the_dj?si=z-nH3XY20zV61A9m","2026-02-25T07:23:43.678861Z"
460.0,7550,2555,"1","@GeorgeGitau-s5w2e","Constructive Criticism"," heart_on_fire  fire  fire ,,, Mboka doba to the fullest  Jamaica  crocodile  no_one_under_eighteen  1960 ,,, big up Mnisa napenda  flexed_biceps  victory_hand  OK_hand ",0.348465621471405,"2026-02-25T07:23:57.269701Z",15090,"Sheng",11.027,0,"neutral or positive","2026-02-03T19:16:02Z","Positive","[CC] Genuine Praise","❤️‍🔥🔥🔥,,, Mboka doba to the fullest 🇯🇲🐊🔞 1960 ,,, big up Mnisa napenda 💪✌️👌","2026-02-25T07:23:57.269701Z"
461.0,7551,2556,"1","@QingDarius","Constructive Criticism","Mboka doba",0.3452903032302856,"2026-02-25T07:24:10.366744Z",15091,"Sheng",10.6,1,"neutral or positive","2026-02-03T19:01:58Z","Positive","[CC] Genuine Praise","Mboka doba","2026-02-25T07:24:10.366744Z"
